BUG,,LOCATION,PRICE,ACTIVE START,ACTIVE END,January,February,March,April,May,June,July,August,September,October,November,December
,,,,,,,,,,,,,,,,,
Hermit Crab,,Beach,1000,7:00 PM,8:00 AM,X,X,X,X,X,x,X,X,X,X,X,X
Wharf Roach,,Beach rocks,200,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Man-faced Stink Bug,,Flowers,1000,7:00 PM,8:00 AM,,,X,X,X,X,X,X,X,X,X,
Mantis,,Flowers,430,8:00 AM,5:00 PM,,,X,X,X,X,X,X,X,X,X,
Ladybug,,Flowers,200,8:00 AM,5:00 PM,,,X,X,X,X,,,,X,,
Stinkbug,,Flowers,120,12:00 AM,11:59 PM,,,X,X,X,X,X,X,X,X,X,
Peacock Butterfly,,Flowers (rare),2500,4:00 AM,7:00 PM,,,X,X,X,X,,,,,,
Emperor Butterfly,,Flying,4000,5:00 PM,8:00 AM,X,X,X,,,X,X,X,X,,,
Paper Kite Butterfly,,Flying,1000,8:00 AM,7:00 PM,X,X,X,X,X,x,X,X,X,X,X,X
Tiger Butterfly,,Flying,240,4:00 AM,7:00 PM,,,X,X,X,X,X,X,X,,,
Honeybee,,Flying,200,8:00 AM,5:00 PM,,,X,X,X,X,X,,,,,
Common Butterfly,,Flying,160,4:00 AM,7:00 PM,X,X,X,X,X,X,,,X,X,X,X
Yellow Butterfly,,Flying,160,4:00 AM,7:00 PM,X,X,X,X,X,X,,,X,X,X,X
Tarantula,,Ground,8000,7:00 PM,4:00 AM,X,X,X,X,,,,,,,X,X
Tiger Beetle,,Ground,1500,12:00 AM,11:59 PM,,X,X,X,X,X,X,X,X,X,X,
Centipede,,Hit rocks,300,4:00 PM,11:00 PM,X,X,X,X,X,X,,,X,X,X,X
Pill Bug,,Hit rocks,250,11:00 PM,4:00 PM,X,X,X,X,X,,,,X,X,X,X
Moth,,Light,130,7:00 PM,4:00 AM,X,X,X,X,X,x,X,X,X,X,X,X
Snail,,Rock (rainy),250,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Ant,,Rotten food,80,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Wasp,,Shaken tree,2500,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Bagworm,,Shaken tree,600,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Spider,,Shaken tree,480,7:00 PM,8:00 AM,X,X,X,X,X,x,X,X,X,X,X,X
Citrus Longhorned Beetle,,Stump,350,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Fly,,Trash,80,12:00 AM,11:59 PM,X,X,X,X,X,x,X,X,X,X,X,X
Mole Cricket,,Underground,500,12:00 AM,11:59 PM,X,X,X,X,X,,,,,,X,X
Orchid Mantis,,White flower,2400,8:00 AM,5:00 PM,,,X,X,X,X,X,X,X,X,X,
Goliath Beetle,,Tree,8000,5:00 PM,8:00 AM,,,,,,,X,X,X,,,X
Bell Cricket,,Flowers,430,5:00 PM,8:00 AM,,,,,,,,,X,X,,
